entropy,meankl,ev_tdlam_before,EpisodesSoFar,TimeElapsed,optimgain,TimestepsSoFar,EpLenMean,EpRewMean,surrgain,entloss,EpThisIter
35.88761,0.007425892,0.9183005839586258,2365,274.7723789215088,0.17280567,185202,97.425,276.0235583502258,0.17280567,0.0,24
35.868614,0.0071867877,0.8767803311347961,2392,278.5101191997528,0.17241359,188047,102.575,289.1626961116959,0.17241359,0.0,27
35.812927,0.007340723,0.9082790315151215,2416,282.252240896225,0.17077723,190396,101.85,295.02325648742146,0.17077723,0.0,24
35.75788,0.007267034,0.8986525014042854,2440,286.014240026474,0.16647501,192805,100.5,291.08051481351674,0.16647501,0.0,24
35.741554,0.007464004,0.7916292399168015,2465,289.7741959095001,0.17868015,195410,101.775,301.72470668105814,0.17868015,0.0,25
35.68528,0.007096438,0.6790666282176971,2488,293.5185480117798,0.17698716,197747,100.325,301.27400864184017,0.17698716,0.0,23
35.636497,0.0072095776,0.8738450855016708,2516,297.25486636161804,0.1758404,200514,99.65,295.06281277496953,0.1758404,0.0,28
35.598007,0.007319705,0.8008720427751541,2539,300.99378514289856,0.16403079,202803,98.15,297.87322610533755,0.16403079,0.0,23
35.567574,0.0074032345,0.9065126404166222,2563,304.75823950767517,0.16947097,205232,99.575,296.34378040939663,0.16947097,0.0,24
35.517567,0.007590884,0.9225678965449333,2587,308.5148913860321,0.17342184,207731,102.15,302.1080370788986,0.17342184,0.0,24
35.449486,0.007580842,0.8710979670286179,2614,312.25200271606445,0.172466,210488,103.575,310.5094113671122,0.172466,0.0,27
35.394302,0.0072620823,0.9663904272019863,2639,315.9831643104553,0.16838458,212964,99.4,307.10920479575907,0.16838458,0.0,25
35.366905,0.007395102,0.9581989124417305,2663,319.7156147956848,0.17877886,215543,102.325,307.29140036526263,0.17877886,0.0,24
35.32368,0.007627466,0.8939466252923012,2688,323.46038937568665,0.18738559,218180,105.2,318.0687272650556,0.18738559,0.0,25
35.29908,0.007471218,0.8433965742588043,2712,327.20974683761597,0.17493588,220623,103.125,309.9052757747545,0.17493588,0.0,24
35.254417,0.007245501,0.8193901777267456,2738,330.9701716899872,0.18045704,223352,104.975,321.61226755140416,0.18045704,0.0,26
35.20327,0.007614308,0.9531114213168621,2762,334.7128658294678,0.17617692,226022,108.825,329.36978433139603,0.17617692,0.0,24
35.169174,0.0074960203,0.9085213840007782,2788,338.47367882728577,0.17770727,228809,111.3,340.43757339857456,0.17770727,0.0,26
35.115532,0.007505264,0.843666598200798,2813,342.21443009376526,0.18748447,231307,101.125,308.5946739791116,0.18748447,0.0,25
35.0614,0.007574466,0.950295303016901,2839,345.9602007865906,0.17881328,233781,93.25,276.4202495802697,0.17881328,0.0,26
35.021843,0.0077063204,0.9451011940836906,2865,349.71462321281433,0.18225932,236617,105.6,315.56167083239444,0.18225932,0.0,26
34.972443,0.007478659,0.9381746836006641,2889,353.4603362083435,0.17654908,239004,105.1,322.39962937408035,0.17654908,0.0,24
34.91935,0.0076217963,0.9456349201500416,2914,357.211261510849,0.1751976,241603,102.575,321.63648199478746,0.1751976,0.0,25
34.87577,0.0076820264,0.9054641574621201,2939,360.9621102809906,0.18621548,244391,108.425,331.43064587955996,0.18621548,0.0,25
34.827766,0.0077963434,0.8923978954553604,2965,364.71691393852234,0.17972344,247190,109.5,341.27323820751974,0.17972344,0.0,26
34.778748,0.007746745,0.9467122219502926,2988,368.4605646133423,0.17184429,249691,107.4,333.95708133187736,0.17184429,0.0,23
34.74156,0.0075804293,0.9613818973302841,3010,372.20053815841675,0.17888257,252133,108.875,340.22212116136524,0.17888257,0.0,22
34.725395,0.007927898,0.8865401968359947,3035,375.9436140060425,0.17184877,254772,109.3,339.61142146403574,0.17184877,0.0,25
34.68981,0.007694575,0.956488274037838,3060,379.75621509552,0.17574456,257529,109.075,341.2522433183859,0.17574456,0.0,25
34.67639,0.007752735,0.9263718798756599,3085,383.50521874427795,0.18237212,260376,113.15,355.4381421536535,0.18237212,0.0,25
34.688522,0.0077815326,0.9054474234580994,3108,387.2688503265381,0.18429461,262855,110.375,350.7456254907108,0.18429461,0.0,23
34.65462,0.007384997,0.93907904997468,3129,391.03158617019653,0.17173593,265010,104.025,334.8168258010116,0.17173593,0.0,21
34.60324,0.0075955675,0.9291415363550186,3150,394.7654948234558,0.18650678,267600,113.525,359.1910481052465,0.18650678,0.0,21
34.548836,0.0080471095,0.9330739825963974,3176,398.5087151527405,0.1799943,270318,110.075,338.1652811304963,0.1799943,0.0,26
34.539726,0.0078326315,0.9631580822169781,3197,402.24672865867615,0.1933184,272977,114.925,361.55091365381224,0.1933184,0.0,21
34.530014,0.0075923195,0.9395098872482777,3220,406.01613903045654,0.17981389,275679,122.8,392.8172769887986,0.17981389,0.0,23
34.50791,0.0076499186,0.9516571871936321,3239,409.7722897529602,0.18099312,277904,116.8,374.4285132678937,0.18099312,0.0,19
34.495094,0.0076215705,0.9190415292978287,3259,413.55955171585083,0.17832145,280163,114.65,360.11092146507497,0.17832145,0.0,20
34.450066,0.007736252,0.8748007416725159,3281,417.32466173171997,0.18091479,282716,115.875,365.34338411504694,0.18091479,0.0,22
34.429005,0.007890325,0.9170215427875519,3304,421.06895112991333,0.17783813,285235,110.85,356.2278021965998,0.17783813,0.0,23
34.37425,0.008006373,0.9282248094677925,3329,424.814612865448,0.18182345,287904,106.1,337.63968707415825,0.18182345,0.0,25
34.340584,0.008093737,0.9572362527251244,3355,428.5915949344635,0.17995287,290578,106.825,344.1586410438385,0.17995287,0.0,26
34.30186,0.0077644326,0.9498317874968052,3379,432.34122467041016,0.17818357,293347,110.175,358.04572291936597,0.17818357,0.0,24
34.25709,0.0076139607,0.8580949157476425,3401,436.0966501235962,0.1936421,295920,117.425,380.06753443366387,0.1936421,0.0,22
34.218323,0.007975551,0.9575001746416092,3425,439.8390700817108,0.18559103,298489,109.675,360.45303211834374,0.18559103,0.0,24
34.187027,0.007881294,0.9710761476308107,3446,443.5731370449066,0.187116,300769,107.9,348.4858113198216,0.187116,0.0,21
34.143547,0.008058332,0.9631510712206364,3470,447.3273813724518,0.18272977,303484,111.025,361.0356320583417,0.18272977,0.0,24
34.10872,0.008133044,0.9717274811118841,3495,451.0621371269226,0.17938122,306220,110.175,359.2833995168709,0.17938122,0.0,25
34.082504,0.007876329,0.8272448182106018,3517,454.8095557689667,0.18564014,308644,109.025,357.210068273693,0.18564014,0.0,22
34.045464,0.007642951,0.9419046081602573,3540,458.5491752624512,0.18096936,311364,114.425,383.3627731091986,0.18096936,0.0,23
34.005547,0.0077508567,0.9360786154866219,3565,462.28758907318115,0.18882558,314028,111.275,366.57090162420474,0.18882558,0.0,25
33.967934,0.008085984,0.964800875633955,3588,466.02824544906616,0.18451846,316477,108.075,356.4183755093662,0.18451846,0.0,23
33.924385,0.008126879,0.9339093118906021,3611,469.79871368408203,0.18862912,319059,111.575,367.3638543786624,0.18862912,0.0,23
33.88446,0.00824234,0.9339513257145882,3633,473.5396044254303,0.18941021,321587,110.95,364.0498121407361,0.18941021,0.0,22
33.851715,0.008265927,0.9398471750319004,3653,477.2888853549957,0.19272466,324029,118.05,395.88693310826073,0.19272466,0.0,20
33.83039,0.00806575,0.9768133908510208,3674,481.02769207954407,0.1950152,326745,126.2,428.1942524282082,0.1950152,0.0,21
33.800915,0.007960427,0.9227386936545372,3695,484.77175545692444,0.18802246,329112,120.55,406.7942028893534,0.18802246,0.0,21
33.77281,0.008149188,0.9306792244315147,3717,488.51240825653076,0.18906279,331690,116.2,385.91770125864343,0.18906279,0.0,22
33.745476,0.008016856,0.8925434648990631,3740,492.2576096057892,0.18820575,334244,113.325,373.27452362343115,0.18820575,0.0,23
33.714394,0.008144851,0.9124986380338669,3762,495.99667501449585,0.19345741,336781,114.575,378.12717807556703,0.19345741,0.0,22
33.676407,0.008343495,0.9342708140611649,3784,499.7355041503906,0.19760224,339666,123.4,421.14342103248646,0.19760224,0.0,22
33.646935,0.008312068,0.9667001217603683,3805,503.4744050502777,0.18206793,342108,122.525,422.23087448192894,0.18206793,0.0,21
33.62893,0.0082373,0.9646093919873238,3827,507.23106384277344,0.1859338,344648,115.075,389.3437116454825,0.1859338,0.0,22
33.606834,0.008093575,0.8798690736293793,3850,510.9730339050293,0.18607855,347275,114.625,381.0698562795053,0.18607855,0.0,23
33.571117,0.008180757,0.9339477866888046,3872,514.7323207855225,0.18671022,349959,118.825,400.69609404065505,0.18671022,0.0,22
