# {"t_start": 1552729570.8799193, "env_id": null} 
r,l,t
0.317526,42,108.577973
0.353551,24,108.758287
0.390149,23,108.921853
0.22459,16,109.041882
0.2247,19,109.181344
0.39278,15,109.293578
0.112736,32,109.524803
0.20449,24,109.707481
0.226001,27,109.92523
0.477796,36,110.194084
0.314821,22,110.361001
0.329129,33,110.60103
0.469861,41,110.888819
0.506363,24,111.067877
0.176454,32,111.305868
0.333441,34,111.595262
0.25592,25,111.788232
0.514992,24,111.969658
0.497121,25,112.333639
0.278914,33,112.566596
0.403992,28,112.769372
0.071282,14,112.872996
0.216531,17,112.99285
0.219682,24,113.165329
0.23115,23,113.331747
0.259797,28,113.556122
0.141545,36,113.81815
0.38076,24,113.990147
0.436115,26,114.191622
0.218044,26,114.379113
0.23145,39,114.653808
0.239973,17,114.799227
0.195759,22,114.967244
0.283727,58,115.411
0.683272,31,115.629654
0.229513,26,115.816208
0.499734,17,115.936691
0.477252,21,116.086969
0.185914,39,116.363271
0.20178,17,116.481508
0.257354,27,116.66929
0.250648,31,116.886799
0.438198,48,117.23368
0.318986,33,117.466915
0.536629,32,117.694075
0.498026,19,117.824019
0.405882,20,117.967284
0.454771,17,118.086093
0.45717,23,118.245352
0.366705,26,118.430665
0.456231,24,118.599723
0.284149,55,118.98642
0.356431,26,119.177007
0.274755,22,119.336505
0.2948,29,119.543713
0.133732,27,120.110101
0.262296,25,120.316261
0.211588,22,120.492914
0.538401,36,120.751922
0.291113,20,120.9001
0.231264,21,121.072325
0.213141,27,121.346867
0.297992,18,121.481905
0.507822,21,121.627944
0.452136,20,121.775493
0.38455,25,121.95139
0.375378,50,122.312234
0.297861,26,122.49719
0.178234,33,122.739152
0.232334,13,122.838867
0.396675,28,123.05519
0.364441,14,123.174871
0.458431,23,123.336671
0.343928,23,123.496417
0.382838,32,123.723888
0.297434,26,123.911808
0.288787,24,124.170161
0.372118,34,124.459837
0.378503,36,124.734103
0.365372,33,124.967765
0.400014,14,125.072247
0.503695,47,125.4399
0.303845,31,125.656807
0.347641,37,125.94441
0.563999,18,126.102138
0.469352,47,126.435463
0.434697,49,126.776427
0.343372,26,126.967443
0.345783,20,127.132303
0.384674,26,127.328174
0.202022,20,127.473648
0.425252,49,127.985828
0.300287,30,128.203876
0.472219,16,128.350304
0.216804,32,128.592506
0.569313,46,128.972461
0.326907,43,129.300011
0.265817,25,129.474213
0.621152,21,129.633584
0.16249,31,129.906459
0.466758,39,130.22582
0.218353,25,130.408635
0.654083,21,130.574839
0.335009,27,130.783164
0.230625,16,130.920183
0.362206,26,131.169192
0.166311,36,131.474558
0.237203,38,131.789722
0.185078,41,132.139712
0.183947,15,132.264034
0.365843,19,132.397028
0.582335,32,132.62836
0.342655,34,132.907884
0.284467,52,133.296519
0.324229,23,133.493885
0.356004,34,133.740841
0.36954,27,133.92801
0.349635,31,134.150529
0.484276,22,134.327918
0.438979,24,134.615775
0.2855,15,134.761072
0.362157,24,134.943936
0.808476,32,135.204172
0.293629,24,135.384133
0.187572,25,135.563534
0.113308,16,135.686358
0.398426,25,135.863706
0.434264,25,136.057451
0.742977,33,136.494914
0.26139,14,136.665737
0.442187,38,136.94097
0.51157,33,137.182119
0.323892,22,137.356363
0.129159,14,137.475653
0.382162,26,137.672191
0.523235,29,137.890807
0.489318,14,137.997475
0.594849,24,138.171365
0.431822,21,138.319532
0.557991,27,138.506279
0.453308,19,138.64133
0.227713,17,138.760339
0.325828,19,138.893427
0.190753,23,139.060378
0.648697,23,139.22258
0.187653,17,139.347228
0.300871,23,139.50645
0.537322,30,139.71868
0.299227,16,139.835874
0.310552,23,139.994859
0.142117,30,140.209569
0.161216,19,140.34594
0.496829,29,140.549275
0.347031,23,140.712153
0.377053,17,140.830358
0.514027,27,141.019791
0.413739,40,141.310844
0.354991,18,141.454546
0.278699,18,141.602834
0.343051,24,141.779993
0.405037,33,142.007529
0.194261,34,142.282332
0.387117,30,142.509565
0.355629,30,142.724357
0.130964,37,142.995524
0.284654,24,143.171051
0.13597,20,143.317837
0.237208,23,143.486551
0.253085,16,143.626949
0.331988,22,143.787532
0.342943,30,144.187138
0.604001,25,144.365731
0.400944,27,144.553251
0.480664,22,144.711125
0.422703,27,144.907906
0.444952,37,145.200359
0.646035,27,145.39697
0.170636,24,145.57205
0.402401,29,145.774179
0.199382,11,145.850076
0.311416,23,146.020426
0.372359,22,146.184474
0.50142,21,146.33426
0.487931,19,146.467676
0.514852,62,146.915903
0.448436,24,147.091613
0.290747,16,147.210315
0.061642,12,147.303672
0.680616,23,147.474374
0.516116,36,147.740361
0.466094,32,147.973614
0.249575,27,148.201199
0.478001,19,148.352262
0.58569,34,148.597359
0.368486,30,148.845196
0.473638,29,149.09055
0.43772,22,149.266394
0.231527,18,149.404749
0.159834,30,149.622237
0.420596,22,149.789228
0.689127,25,149.966807
0.42833,18,150.100994
0.431205,24,150.282725
0.377767,21,150.437968
0.487274,19,150.573216
0.189322,24,150.751072
0.428724,33,150.983293
0.416139,25,151.169719
0.256518,16,151.294845
0.414765,31,151.515254
0.38424,37,152.021395
0.3446,26,152.232137
0.146694,17,152.358018
0.448718,43,152.658075
0.326677,38,152.932465
0.121352,25,153.144126
0.240594,43,153.453078
0.291757,23,153.61397
0.604769,32,153.842117
0.298751,21,154.01335
0.279258,25,154.23455
0.496514,16,154.359401
0.368845,35,154.621109
0.579809,27,154.825476
0.364655,16,154.960182
0.283617,35,155.215033
0.561551,22,155.379718
0.405197,45,155.73138
0.252025,23,155.930746
0.291544,18,156.068474
0.205872,14,156.171898
0.326352,22,156.340801
0.43835,32,156.576977
0.195374,22,156.74301
0.288882,28,156.967649
0.468542,46,157.33718
0.308071,39,157.612423
0.44795,32,157.93376
0.354254,16,158.067119
0.123716,15,158.179834
0.427021,29,158.405017
0.084795,18,158.539814
0.361951,31,158.760629
0.464234,31,158.978479
0.272104,39,159.295508
0.360566,29,159.500731
0.568074,25,159.68154
0.383543,40,160.14357
0.379984,34,160.386998
0.376083,30,160.608392
0.377156,32,160.862516
0.259674,39,161.143316
0.42276,18,161.28488
0.227337,22,161.444527
0.263728,33,161.699881
0.172686,17,161.824208
0.213781,25,162.003955
0.478042,31,162.239524
0.370653,22,162.406648
0.287599,56,162.808144
0.318549,25,163.03034
0.277191,17,163.161542
0.13641,41,163.450558
0.448804,17,163.567784
0.393492,21,163.719534
0.387985,26,163.905999
0.320868,15,164.009534
0.441912,19,164.1431
0.195058,15,164.258653
0.30595,16,164.380922
0.427489,29,164.585588
0.261827,19,164.720813
0.360323,15,164.824242
0.501123,23,164.984159
0.334982,32,165.214146
0.422107,29,165.439191
0.72756,34,165.874859
0.195166,25,166.076505
0.254794,41,166.439996
0.283544,20,166.60427
0.253294,24,166.82429
0.239397,27,167.022971
0.555103,24,167.216831
0.339644,17,167.342827
0.5028,49,167.686929
0.420557,24,168.114317
0.211521,22,168.297663
0.368773,20,168.442708
0.181718,36,168.720926
0.251739,25,168.90786
0.154476,32,169.146429
0.257102,27,169.342431
0.446349,30,169.562294
0.332888,26,169.749529
0.208353,22,169.910035
0.642744,27,170.105993
0.224712,25,170.296321
0.258522,25,170.487011
0.326905,19,170.633273
0.327665,16,170.764809
0.25978,20,170.930443
0.261306,27,171.219702
0.171838,18,171.355413
0.36221,14,171.459534
0.337568,40,171.752008
0.178194,42,172.064873
0.278992,18,172.199321
0.549854,41,172.496699
0.137538,19,172.633116
0.36798,21,172.782802
0.340259,21,172.928946
0.551184,21,173.073833
0.279578,22,173.242387
0.359787,38,173.641449
0.207084,29,173.94271
0.502281,26,174.215003
0.630392,29,174.437121
0.300997,35,174.698029
0.221849,21,174.846795
0.247075,20,175.003785
0.344647,21,175.168721
0.408495,20,175.318393
0.503912,24,175.49392
0.191442,27,175.693225
0.422567,48,176.238981
0.235883,21,176.398019
0.251861,33,176.635119
0.311618,34,176.880248
0.357222,17,177.004333
0.24509,29,177.215095
0.441665,25,177.391835
0.473342,26,177.580727
0.324536,38,177.866684
0.450622,36,178.127286
0.306896,21,178.281075
0.206963,15,178.470016
0.245461,28,178.682155
0.399431,13,178.772223
0.242893,13,178.869724
0.614469,33,179.134572
0.21598,20,179.291536
0.323913,35,179.57672
0.204376,20,179.725586
0.629126,26,179.916872
0.328407,22,180.077284
0.388912,42,180.498904
0.410053,33,180.763327
0.221947,15,180.874683
0.316739,28,181.111135
0.251518,12,181.208294
0.301174,33,181.459204
0.633392,30,181.691815
0.246579,18,181.823578
0.361451,19,181.958486
0.663735,33,182.193909
0.43025,30,182.415046
0.298085,17,182.53325
0.602652,41,182.851953
0.665895,47,183.265196
0.409145,19,183.422699
0.304632,21,183.572324
0.206966,26,183.765222
0.306827,24,183.941751
0.36961,20,184.092542
0.405334,30,184.492204
0.268807,42,184.844541
0.294873,21,185.015677
0.219869,21,185.17594
0.533033,47,185.512846
0.187778,14,185.616853
0.436426,27,185.844534
0.201658,20,186.019097
0.285082,43,186.392213
0.475995,24,186.566884
0.352658,25,186.74284
0.600331,41,187.041975
0.545982,23,187.232734
0.317152,23,187.400664
0.570319,32,187.633734
0.321261,33,187.882407
0.354025,37,188.191796
0.352262,33,188.438216
0.570705,37,188.771027
0.16551,24,188.944126
0.455159,40,189.262913
0.52982,24,189.442977
0.579739,25,189.681817
0.515267,28,189.885347
0.259992,31,190.115985
0.109338,27,190.34553
