# {"env_id": null, "t_start": 1552797576.7086205} 
r,l,t
2.236979,44,246.589754
2.756584,28,246.964576
2.294988,44,247.620893
2.667269,27,247.983848
2.486383,30,248.386697
2.837958,41,248.938214
1.750286,16,249.154955
2.915938,30,249.559706
0.179868,29,249.945424
2.250435,47,250.577254
1.700111,32,251.072858
1.855728,33,251.519446
2.640024,34,251.982859
2.313519,32,252.415203
1.411337,22,252.715272
3.182214,33,253.157174
2.582782,39,253.684574
1.69043,11,253.836806
2.364107,47,254.539628
2.209153,44,255.139997
2.478632,21,255.43097
2.001298,40,255.980057
1.93794,18,256.229746
2.626552,41,256.792415
3.227903,40,257.339149
1.335334,21,257.635244
2.745694,40,258.233395
1.86615,36,258.716619
0.784416,32,259.140717
2.530984,20,259.412507
1.021042,5,259.49018
1.683157,16,259.708114
0.880331,25,260.040081
2.150035,41,260.591338
2.330945,33,261.032624
2.128283,22,261.330054
1.913543,26,261.743605
2.686298,29,262.136298
1.933017,44,262.752102
2.625225,39,263.291588
1.905483,20,263.567373
2.475633,42,264.137796
2.386218,46,264.758275
2.666758,52,265.498909
2.529834,40,266.023222
1.980287,17,266.257143
1.489665,24,266.594731
2.014035,35,267.06599
2.587541,29,267.465685
0.501236,37,268.049953
2.781131,28,268.509681
1.764287,16,268.800939
2.538218,43,269.416977
2.519678,43,270.074038
2.17347,27,270.456678
1.390883,22,270.85659
2.553918,43,271.516964
1.391266,21,271.811744
1.338434,23,272.283653
2.271716,21,272.580187
0.769456,25,272.994316
1.66868,18,273.238595
2.265395,42,273.827284
2.177328,23,274.169892
2.516634,33,275.15969
2.218398,44,275.822248
1.808479,12,275.997282
2.697632,23,276.307159
1.777337,15,276.517858
2.378135,26,276.939213
1.887361,24,277.267953
1.348523,25,277.69069
2.359848,35,278.320251
1.662934,24,278.658445
2.401405,40,279.218288
1.526598,10,279.357718
2.301064,42,279.928888
1.976183,16,280.147081
3.176523,42,280.778528
2.046494,16,281.000901
2.816695,25,281.348744
1.627838,35,281.833747
2.375651,27,282.207298
3.139156,37,282.716756
2.368594,32,283.179101
1.415186,23,283.512362
