EpThisIter,EpRewMean,meankl,EpisodesSoFar,TimeElapsed,EpLenMean,TimestepsSoFar,surrgain,entloss,entropy,ev_tdlam_before,optimgain
7,2.5413693685576013,0.0042289803,5936,10248.051473379135,34.85,201601,0.22335601,0.0,38.12568,0.9481264650821686,0.22335601
7,2.506405408550722,0.013417643,5943,10261.11431479454,36.125,201886,0.37034303,0.0,38.12594,0.9411495663225651,0.37034303
5,2.5331745779121566,0.014681732,5948,10273.997027397156,38.125,202129,0.39955258,0.0,38.12695,0.937125489115715,0.39955258
8,2.5620314421032164,0.012772581,5956,10287.120093107224,37.375,202408,0.48037636,0.0,38.130295,0.9092438668012619,0.48037636
9,2.561501277966898,0.01463416,5965,10300.174974918365,37.775,202696,0.4535421,0.0,38.129765,0.9231804013252258,0.4535421
8,2.4762000308369556,0.014557192,5973,10312.983896255493,36.625,202960,0.41252992,0.0,38.12911,0.7840290665626526,0.41252992
8,2.480278025035417,0.013702668,5981,10326.018568992615,35.225,203208,0.3770892,0.0,38.12768,0.8818461373448372,0.3770892
7,2.544590317183372,0.0040821554,5988,10338.814144611359,33.525,203470,0.22111332,0.0,38.128468,0.9223492965102196,0.22111332
6,2.5261738008187,0.003945364,5994,10351.774312734604,33.95,203701,0.2718222,0.0,38.128014,0.921636126935482,0.2718222
6,2.568793367531625,0.0040037883,6000,10364.96454167366,35.625,203979,0.22254913,0.0,38.12768,0.9581037685275078,0.22254913
8,2.6806869659508235,0.013870964,6008,10377.93960404396,35.475,204216,0.53360665,0.0,38.128666,0.9059134647250175,0.53360665
7,2.80176609610307,0.0037548128,6015,10390.854694604874,35.725,204460,0.20317101,0.0,38.128433,0.9135319963097572,0.20317101
9,2.5862679043868657,0.012266974,6024,10403.737634420395,34.1,204706,0.34804088,0.0,38.124256,0.8803470209240913,0.34804088
6,2.6290944466377684,0.004117356,6030,10416.866740942001,34.9,204949,0.1995454,0.0,38.12434,0.9267763122916222,0.1995454
