entropy,surrgain,TimestepsSoFar,optimgain,EpLenMean,EpRewMean,EpThisIter,meankl,EpisodesSoFar,ev_tdlam_before,TimeElapsed,entloss
25.413578,0.20860434,2497211,0.20860434,84.725,2.9835962707666632,30,0.011983819,35996,0.807284876704216,7445.67108464241,0.0
25.42258,0.22187138,2499727,0.22187138,84.425,3.069834883455151,30,0.011615275,36026,0.8094706833362579,7453.178885936737,0.0
25.424114,0.20458373,2502269,0.20458373,83.225,3.1083194361006377,31,0.011678849,36057,0.8712110966444016,7460.790090799332,0.0
25.427963,0.20718184,2504889,0.20718184,85.05,2.940037076449771,30,0.011632436,36087,0.7853429019451141,7468.395489931107,0.0
25.42731,0.21470137,2507476,0.21470137,87.95,2.530578570876644,28,0.011772599,36115,0.6251027882099152,7475.928106069565,0.0
25.404987,0.21619983,2510027,0.21619983,80.725,2.5837720242213544,32,0.011914419,36147,0.9389307387173176,7483.626571178436,0.0
25.372349,0.2075208,2512761,0.2075208,85.575,3.027752541006631,31,0.01168513,36178,0.8716160356998444,7491.292925357819,0.0
25.364761,0.2050366,2515160,0.2050366,85.575,3.0296820382625094,29,0.011735738,36207,0.9076163172721863,7498.870950222015,0.0
25.338634,0.21673527,2517829,0.21673527,82.225,3.0920332322631046,33,0.011612104,36240,0.7701766341924667,7506.443560123444,0.0
25.299427,0.20332976,2520524,0.20332976,85.4,3.229616750398482,31,0.011384783,36271,0.8723932355642319,7513.998565196991,0.0
25.300694,0.20277694,2522955,0.20277694,86.475,3.0653071323662675,29,0.012083481,36300,0.9400565512478352,7521.580647230148,0.0
25.290016,0.20866139,2525427,0.20866139,86.0,3.0600394578866132,28,0.011924888,36328,0.709809273481369,7529.11928153038,0.0
25.240902,0.19319178,2528093,0.19319178,92.275,2.9995136595899416,29,0.011550432,36357,0.9648646302521229,7536.6411991119385,0.0
25.249702,0.197196,2530633,0.197196,86.125,2.8751445032784204,31,0.011221502,36388,0.8253056854009628,7544.293129444122,0.0
25.210117,0.20429902,2532941,0.20429902,81.325,3.161642400189221,28,0.0116751185,36416,0.7106693685054779,7551.839715719223,0.0
