ev_tdlam_before,entloss,optimgain,meankl,TimeElapsed,EpRewMean,EpThisIter,TimestepsSoFar,entropy,EpLenMean,EpisodesSoFar,surrgain
0.8616653084754944,0.0,0.23693822,0.010033661,1639.8103902339935,0.9054753540774033,27,72848,36.743656,39.9,2195,0.23693822
0.8199434578418732,0.0,0.25678283,0.010221664,1662.1618943214417,0.9320502651791205,27,73880,36.697926,38.675,2222,0.25678283
0.8133411705493927,0.0,0.2343162,0.010261206,1684.4906849861145,0.9960906336982926,28,74861,36.64601,36.825,2250,0.2343162
0.8075637221336365,0.0,0.25568038,0.010464171,1706.8699488639832,0.993766607547555,24,75888,36.626293,40.0,2274,0.25568038
0.7898083329200745,0.0,0.23184195,0.010183731,1729.1863329410553,0.942810065242179,25,76920,36.606983,42.825,2299,0.23184195
0.8420547097921371,0.0,0.2504439,0.010216303,1751.3837459087372,0.9045528446945632,28,77950,36.562664,39.2,2327,0.2504439
0.8266192376613617,0.0,0.25457472,0.010279154,1773.8331189155579,0.9713909401682997,25,78966,36.515423,40.325,2352,0.25457472
0.8447472304105759,0.0,0.2273437,0.01038972,1796.2430946826935,1.019044281931402,25,79988,36.4751,41.325,2377,0.2273437
0.8262602984905243,0.0,0.2517277,0.010318046,1818.2569737434387,1.0049136294951304,26,81030,36.427193,39.2,2403,0.2517277
0.8154530972242355,0.0,0.2509262,0.01085783,1840.6187825202942,1.0158689186662688,25,82032,36.35307,38.8,2428,0.2509262
0.8384075164794922,0.0,0.24473672,0.010160612,1862.8072226047516,1.0513058807077944,26,83065,36.30058,41.225,2454,0.24473672
0.8562470078468323,0.0,0.2527329,0.009933722,1884.9850347042084,1.0076006824981174,27,84088,36.26535,38.225,2481,0.2527329
0.8900046795606613,0.0,0.25772247,0.010193229,1907.141478061676,1.028315950762176,27,85145,36.24562,39.1,2508,0.25772247
0.828668624162674,0.0,0.2831725,0.010516434,1929.131252527237,1.0645425772169266,27,86179,36.20606,39.125,2535,0.2831725
0.8616551607847214,0.0,0.26797658,0.010645887,1951.3761842250824,1.1015188233017947,24,87209,36.147953,39.95,2559,0.26797658
0.7838894128799438,0.0,0.24388504,0.010486158,1973.551426410675,1.057643714973026,26,88236,36.117176,40.075,2585,0.24388504
0.8637271672487259,0.0,0.27851325,0.0108692115,1995.693573474884,1.0384385496792112,25,89252,36.06641,39.8,2610,0.27851325
0.8120071738958359,0.0,0.23578475,0.009957267,2017.9417452812195,0.9984491230487862,22,90261,36.0273,42.875,2632,0.23578475
0.859599307179451,0.0,0.27815926,0.011090361,2040.0371339321136,1.01033120699664,23,91286,36.00434,45.275,2655,0.27815926
0.846442922949791,0.0,0.295941,0.011074388,2062.2005276679993,1.081498625497058,23,92304,35.956818,45.825,2678,0.295941
0.7797201424837112,0.0,0.2668028,0.010915472,2084.461711168289,1.0337595868277856,23,93324,35.939014,44.525,2701,0.2668028
0.8310057520866394,0.0,0.25998604,0.011067938,2106.755781650543,1.0860607642741953,23,94333,35.917522,44.7,2724,0.25998604
0.8275268226861954,0.0,0.25118634,0.010660063,2128.7180931568146,1.1136379557375222,24,95372,35.886894,44.475,2748,0.25118634
0.8508041352033615,0.0,0.26166368,0.012110909,2151.0502622127533,1.1228264286249743,22,96433,35.851387,45.725,2770,0.26166368
0.8523157835006714,0.0,0.24434158,0.011591075,2173.2363114356995,1.1800806264201333,22,97459,35.780106,47.9,2792,0.24434158
0.8706273287534714,0.0,0.23982337,0.011102157,2195.6258985996246,1.1923374570152838,23,98452,35.74978,45.325,2815,0.23982337
0.8576399385929108,0.0,0.24734448,0.011316165,2217.8622035980225,1.2451205987402567,25,99455,35.730293,41.075,2840,0.24734448
0.8562297374010086,0.0,0.2837269,0.0108094495,2239.8714327812195,1.1145398286112802,23,100482,35.730793,42.95,2863,0.2837269
0.8744367957115173,0.0,0.2764894,0.011341225,2262.0607714653015,1.0662087085603251,24,101512,35.68555,43.15,2887,0.2764894
0.8362119793891907,0.0,0.26682007,0.010777535,2284.7714285850525,1.163904493703153,22,102509,35.65207,44.225,2909,0.26682007
0.8469537198543549,0.0,0.2697931,0.011236986,2307.20810341835,1.2431973332794748,21,103514,35.61747,45.825,2930,0.2697931
0.8279577642679214,0.0,0.2668692,0.012010932,2329.5783565044403,1.19286638433331,21,104511,35.5657,48.15,2951,0.2668692
0.8061188012361526,0.0,0.27571392,0.011172319,2351.938069820404,1.1994838219974073,23,105504,35.549984,45.45,2974,0.27571392
0.8711781948804855,0.0,0.25855923,0.011144593,2374.320885181427,1.2426172210662103,24,106524,35.500004,41.95,2998,0.25855923
0.8678682595491409,0.0,0.27370116,0.011739721,2396.629596710205,1.16622878313653,25,107575,35.45086,42.65,3023,0.27370116
0.8637558668851852,0.0,0.24441993,0.011606063,2418.7842965126038,1.182856479616781,24,108567,35.41337,41.525,3047,0.24441993
0.8634966015815735,0.0,0.27604383,0.0114678815,2441.1090421676636,1.1636277633240735,22,109641,35.369846,44.15,3069,0.27604383
0.882538802921772,0.0,0.29377326,0.011189694,2463.483853340149,1.2221494765678478,21,110634,35.323948,47.15,3090,0.29377326
0.8745634704828262,0.0,0.2554037,0.011612213,2485.8690304756165,1.330917564634534,23,111647,35.27203,45.05,3113,0.2554037
0.816432923078537,0.0,0.2690639,0.011884572,2508.3648598194122,1.216945448364795,23,112660,35.248714,44.1,3136,0.2690639
0.8575676530599594,0.0,0.31121707,0.011947295,2530.6484155654907,1.2163445002786246,23,113686,35.206112,45.2,3159,0.31121707
